Position, Ch 1&2, Run #5
Time ( s )	Position ( m )
0.0000	0.225
0.0198	0.225
0.0396	0.226
0.0594	0.226
0.0792	0.225
0.0990	0.226
0.1188	0.226
0.1386	0.225
0.1584	0.225
0.1782	0.226
0.1980	0.226
0.2178	0.225
0.2376	0.225
0.2574	0.224
0.2772	0.226
0.2970	0.228
0.3168	0.231
0.3366	0.234
0.3565	0.238
0.3763	0.240
0.3961	0.245
0.4159	0.248
0.4357	0.254
0.4556	0.262
0.4754	0.270
0.4953	0.279
0.5151	0.288
0.5350	0.298
0.5549	0.309
0.5747	0.320
0.5946	0.331
0.6145	0.347
0.6344	0.363
0.6543	0.377
0.6741	0.388
0.6940	0.402
0.7139	0.415
0.7338	0.431
0.7537	0.447
0.7736	0.464
0.7935	0.482
0.8134	0.501
0.8333	0.519
0.8532	0.539
0.8731	0.559
0.8930	0.580
0.9130	0.601
0.9329	0.623
0.9528	0.646
0.9728	0.669
0.9927	0.693
1.0126	0.718
1.0326	0.743
1.0525	0.768
1.0725	0.795
1.0924	0.821
1.1124	0.849
1.1324	0.876
1.1523	0.905
1.1723	0.934
1.1923	0.964
1.2123	0.995
1.2322	1.024
1.2520	1.019
1.2717	1.006
1.2914	0.994
1.3112	0.979
1.3309	0.967
1.3506	0.955
1.3704	0.946
1.3901	0.937
1.4098	0.924
1.4296	0.917
1.4493	0.905
1.4691	0.898
1.4888	0.888
1.5086	0.883
1.5284	0.875
1.5481	0.870
1.5679	0.867
1.5877	0.864
1.6075	0.860
1.6273	0.858
1.6470	0.855
1.6668	0.854
1.6866	0.853
1.7064	0.853
1.7262	0.853
1.7460	0.854
1.7658	0.856
1.7857	0.858
1.8055	0.861
1.8253	0.864
1.8451	0.869
1.8649	0.871
1.8848	0.876
1.9046	0.882
1.9244	0.889
1.9443	0.896
1.9641	0.904
1.9840	0.912
2.0038	0.921
